"code","name"
"08910","Burlington Borough"
"08911","Burlington Township"
"08912","Canton Borough"
"08913","Canton Township"
"08914","Columbia Township"
"08914","Columbia Cross Roads"
"08915","Franklin Township"
"08916","Granville Township"
"08917","Herrick Township"
"08918","Le Raysville Borough"
"08919","Le Roy Township"
"08920","Litchfield Township"
"08921","Monroe Borough"
"08921","Monroeton"
"08922","Monroe Township"
"08923","New Albany Borough"
"08924","North Towanda Township"
"08925","Orwell Township"
"08926","Overton Township"
"08927","Pike Township"
"08928","Ridgebury Township"
"08928","Bentley Creek"
"08929","Rome Borough"
"08930","Rome Township"
"08931","Sheshequin Township"
"08932","Smithfield Township"
"08933","Gillett"
"08933","South Creek Township"
"08934","South Waverly Borough"
"08935","Springfield Township"
"08936","Standing Stone Township"
"08937","Stevens Township"
"08938","Sylvania Borough"
"08939","Terry Township"
"08940","Towanda Township"
"08941","Troy Borough"
"08942","Troy Township"
"08943","Tuscarora Township"
"08944","Ulster Township"
"08944","Milan"
"08945","Warren Center"
"08945","Warren Township"
"08946","Wells Township"
"08947","West Burlington Township"
"08948","Wilmot Township"
"08949","Windham Township"
"08950","Wyalusing Borough"
"08951","Wyalusing Township"
"08951","Camptown"
"08952","Wysox Township"
"09001","Croydon"
"09001","West Bristol"
"09001","Bristol Township"
"09001","Newportville"
"09002","Falls Township"
"09002","Fairless Hills"
"09003","Middletown Township"
"09004","Andalusia"
"09004","Bensalem Township"
"09004","Eddington"
"09004","Cornwells Heights"
"09005","Bristol Borough"
"09006","Feasterville"
"09006","Lower Southampton Township"
"09007","Warminster Township"
"09808","Doylestown Borough"
"09809","Morrisville Borough"
"09810","Perkasie Borough"
"09811","Quakertown Borough"
"09812","Sellersville Borough"
"09813","Telford Borough"
"09814","Tullytown Borough"
"09915","Bedminster Township"
"09915","Kellers Church"
"09916","Bridgeton Township"
"09916","Upper Black Eddy"
"09917","Buckingham Township"
"09918","Chalfont Borough"
"09919","Doylestown Township"
"09920","Dublin Borough"
"09921","Durham Township"
"09922","East Rockhill Township"
